toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
6585.01,162729620,FP,13.4364908,5.375,4735.0,12.3613,590.249,6229.0,4.28,1.31
660.01,53189332,KP,9.2897006,5.3589155,6241.2619064,10.99,352.181,6055.0,4.22795,1.41549
661.01,53735810,KP,4.0860495,4.5420607,7083.7091188,11.248,500.258,6580.0,4.0663,1.47741
662.01,54085154,FP,1.0014437,1.28,416.0,8.2046,87.2682,6380.0,4.438,1.18
6628.01,75650448,CP,18.184189,3.696,9343.0,12.0836,320.527,5265.0,4.32,1.09
663.01,54962195,CP,2.5989031,1.6635706,1953.2615465,11.7602,64.2308,3719.0,4.76941,0.512361
663.02,54962195,CP,4.6955986,2.1638721,1969.101717,11.7602,64.2308,3719.0,4.76941,0.512361
663.03,54962195,CP,7.1024749,2.7542652,1317.715762,11.7602,64.2308,3719.0,4.76941,0.512361
664.01,55092869,KP,4.7359232,7.0819612,2338.8745559,7.3212,99.1596,5370.0,3.72765,2.7871499
6645.01,15827263,FP,3.9525732,2.378,857.0,10.4263,,4536.1,,
665.01,73723286,FP,14.066109,3.4744355,16514.0482965,9.1116,131.018,6157.0,4.20407,1.47641
6651.01,174328045,CP,5.0569708,3.401,795.0,9.60892,212.128,5818.9,3.95,1.8
6656.01,262457587,FA,0.8219599,2.147,17968.0,10.318,,3866.3,,
667.01,101955023,KP,1.6289322,0.809276,2512.1192447,10.8372,12.613,3202.0,4.86375,0.226407
6693.01,35377903,FP,2.9932591,4.7371329,3363.9691586,10.3313,341.393,6106.0,3.91186,1.9654
6696.01,104195270,FP,3.6859958,5.1972226,12982.7214564,10.9988,531.121,6731.3,3.99257,1.99719
6697.01,441546821,CP,,14.6473924,2626.7704894,7.7897,95.3906,6613.0,4.23,1.4927
670.01,147660201,FP,0.579398,1.64214,1324.07712,11.1557,191.494,5688.0,4.48774,0.950534
6711.01,303364023,FP,10.3469945,2.5934713,1601.254739,13.0055,42.3968,3278.0,4.97813,0.256167
672.01,151825527,CP,3.6335834,1.8069693,8668.4420489,11.6739,66.9071,3765.0,4.75169,0.544068
6726.01,121490076,KP,14.2456603,3.403,1084.0,8.9988,46.2122,4760.0,4.57,0.76
673.01,151959065,FP,10.5426254,6.2145259,16789.8076116,11.955,677.796,6114.0,4.28439,1.65817
674.01,158588995,CP,1.9771658,1.1104153,13877.3059698,11.8764,46.0851,3467.0,4.87946,0.421944
6741.01,263203229,FP,5.0061978,3.521,6438.0,12.792,901.517,6713.0,4.21,1.55
6750.01,299876474,FP,2.5950111,2.524,28870.0,14.4757,317.495,3875.0,4.62,0.64
6764.01,148523092,FP,2.8562935,3.785,22525.0,12.9573,724.77,6383.0,4.31,1.32
6768.01,365952328,FP,4.8741147,2.049,4613.0,12.4154,906.007,6085.0,3.84,2.11
677.01,280206394,CP,11.2365977,2.292,9414.0,9.271401,141.812,6446.0,4.37882,1.29
682.01,429304876,CP,6.8392388,4.176,1213.0,9.2231,83.1548,5085.0,3.92,1.08
6821.01,197643976,KP,3.535713,2.148,3116.0,12.5638,322.148,5222.0,4.52,0.86
6833.01,4610830,KP,8.2616616,2.862,1343.0,11.5018,202.585,5281.0,4.53,0.86
