kepid,kepler_name,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
11913073,,3.747838198,1.121,5.0642,616,0.151387,13.65,98.60031,138.2,358,0.0,0,0.00878,0.046,14.434505,
10875245,Kepler-107 e,14.74914825,0.173,6.0995,430.2,0.018864,2.89,66.187065,107.4,72,0.0,0,0.55575,0.1221,11.163704,
5021899,Kepler-692 b,21.81295996,0.053,4.3791,1175.4,0.030952,3.38,31.21894,37.8,45,0.448,0,2.39175,0.1495,6.4162097,
5077629,,7.91936937,0.733,3.3148,15148.1,0.121984,10.34,385.42834,389.0,132,0.0,0,1.13074,0.0737,47.533234,
5115978,,1.028436523,1.5734,1.8606,8098,0.673134,72.77,,89.6,,,0,0.43236,0.0197,,
5164255,Kepler-693 b,15.37562369,0.692,3.3169,15337,0.12103,11.01,170.02856,166.0,50,0.006,0,2.43887,0.1121,33.115784,
5252423,Kepler-237 c,8.10363271,0.047,3.161,887.9,0.026361,2.11,33.637074,39.3,131,0.0,0,2.33533,0.0712,7.0046763,
5252423,Kepler-237 b,4.71510843,0.258,2.506,417.5,0.018268,1.46,16.489346,21.3,208,0.02,0,2.42359,0.0496,3.765065,
5272878,Kepler-694 b,6.365839713,0.524,2.9721,780.7,0.026275,2.44,58.17086,70.8,216,0.871,0,1.41102,0.0659,7.331596,
5283542,,5.97581754,0.941,3.065,962.4,0.035468,3.86,42.549767,50.3,181,0.0,0,0.14724,0.066,7.281016,
5649215,,2.446737317,1.241,4.7211,1177.9,0.278526,26.25,98.78201,110.2,552,0.0,0,0.01691,0.0351,25.09719,
5651104,Kepler-695 b,3.04033046,0.736,1.8411,10858.8,0.104023,8.99,653.36066,568.2,440,0.0,0,2.31195,0.0374,50.342957,
5792202,Kepler-27 b,15.33528675,0.773,3.897,3081.4,0.056,5,84.09906,86.6,85,0.0,0,0.81659,0.1179,13.146613,
10875245,Kepler-107 d,7.95825328,0.706,4.377,50,0.006915,1.06,10.168395,14.7,109,0.628,0,0.29918,0.0809,2.978392,
5792202,Kepler-27 c,31.33046135,0.798,5.176,5073.8,0.072904,6.5,110.02644,117.2,46,0.0,0,0.70448,0.1898,23.140947,
5370302,,3.9043425,0.709,3.831,16228.4,0.125229,12.28,1224.3164,323.4,275,0.0,0,0.39988,0.0484,110.279724,
5372966,,9.286358079,0.377,3.49949,44791.4,0.19639,17.61,1748.3405,1671.1,117,0.0,0,2.67897,0.081,230.37978,
